epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,883.325,0.78887,1.5764,0.92787,1,0.27436,0.87424,0.68461,0.72994,2.71187,0.88867,0.000656085,0.000656085,0.000656085
2,1704.54,0.83938,1.07136,0.97584,0.94642,0.7437,0.89126,0.71506,0.74187,1.68687,0.91965,0.00129656,0.00129656,0.00129656
3,2151.14,0.82836,0.88889,0.96225,0.96202,0.79992,0.91579,0.71901,0.83823,1.16845,1.01593,0.00191064,0.00191064,0.00191064
4,2501.77,0.81849,0.7635,0.9685,0.98871,0.98947,0.98883,0.78659,0.73276,0.75728,0.95687,0.0018812,0.0018812,0.0018812
5,2854.98,0.75957,0.61269,0.94442,0.96389,0.96842,0.97963,0.80248,0.71816,0.64003,0.96259,0.0018416,0.0018416,0.0018416
6,3290.38,0.75522,0.59123,0.95389,0.98938,0.98067,0.98968,0.82453,0.65738,0.52064,0.94974,0.001802,0.001802,0.001802
7,3910.61,0.73391,0.53764,0.93854,0.97684,0.96842,0.99133,0.85006,0.6059,0.52543,0.89502,0.0017624,0.0017624,0.0017624
8,4498.53,0.69542,0.50935,0.94042,0.988,0.97895,0.99147,0.80998,0.67793,0.46824,0.91834,0.0017228,0.0017228,0.0017228
9,4967.92,0.65423,0.46265,0.91611,0.99856,0.97895,0.99222,0.83566,0.61467,0.4219,0.89373,0.0016832,0.0016832,0.0016832
10,5390.17,0.67969,0.47077,0.92845,0.99765,0.96842,0.98885,0.847,0.57402,0.4084,0.8943,0.0016436,0.0016436,0.0016436
11,5749.61,0.66324,0.46289,0.91795,0.99707,0.97895,0.99183,0.84318,0.61757,0.4164,0.90921,0.001604,0.001604,0.001604
12,6087.25,0.64078,0.4314,0.91276,0.98947,0.98887,0.98874,0.85616,0.58295,0.37869,0.89251,0.0015644,0.0015644,0.0015644
13,6447.03,0.63597,0.43115,0.90955,0.98856,0.97895,0.98873,0.84235,0.618,0.40666,0.9034,0.0015248,0.0015248,0.0015248
14,6699.12,0.65359,0.4301,0.92161,0.97931,0.99661,0.99438,0.84796,0.59148,0.36346,0.90004,0.0014852,0.0014852,0.0014852
15,7143.17,0.61211,0.4109,0.9051,1,0.98657,0.9946,0.85926,0.61995,0.39821,0.91141,0.0014456,0.0014456,0.0014456
16,7364.7,0.60477,0.38967,0.90896,0.99772,0.97895,0.99401,0.87414,0.55075,0.35009,0.88187,0.001406,0.001406,0.001406
17,7578.83,0.59509,0.39916,0.90069,0.99885,0.97895,0.99069,0.86842,0.55659,0.38743,0.87285,0.0013664,0.0013664,0.0013664
18,8152.11,0.59489,0.3877,0.90696,0.98729,0.98947,0.99449,0.88731,0.54235,0.34112,0.85806,0.0013268,0.0013268,0.0013268
19,8543.45,0.57787,0.37954,0.89578,0.99452,0.98947,0.9946,0.85624,0.58321,0.3639,0.87849,0.0012872,0.0012872,0.0012872
20,8968.51,0.56789,0.36888,0.89677,1,0.99947,0.995,0.88803,0.54538,0.30877,0.87602,0.0012476,0.0012476,0.0012476
21,9592.08,0.54249,0.36033,0.88387,1,0.99891,0.995,0.88956,0.5436,0.31073,0.87318,0.001208,0.001208,0.001208
22,10227.6,0.54425,0.34809,0.88545,0.99942,1,0.995,0.87251,0.52628,0.30869,0.86756,0.0011684,0.0011684,0.0011684
23,13097.5,0.55106,0.35022,0.89071,0.99917,0.98947,0.9949,0.8771,0.5214,0.29861,0.87032,0.0011288,0.0011288,0.0011288
24,13632.6,0.54588,0.348,0.87971,0.98957,0.99858,0.9949,0.88888,0.49966,0.31378,0.85537,0.0010892,0.0010892,0.0010892
25,13959.1,0.53794,0.34103,0.88364,0.97937,0.99964,0.99459,0.88038,0.52943,0.32597,0.86446,0.0010496,0.0010496,0.0010496
26,14228.8,0.54381,0.33743,0.89094,1,0.98896,0.99405,0.87214,0.53772,0.30655,0.87409,0.00101,0.00101,0.00101
27,14436,0.51501,0.32737,0.87598,0.99893,0.97895,0.99469,0.8787,0.54657,0.29623,0.86377,0.0009704,0.0009704,0.0009704
28,14856.3,0.52088,0.32239,0.87698,1,0.98878,0.99341,0.88096,0.51362,0.29813,0.84995,0.0009308,0.0009308,0.0009308
29,15516,0.51237,0.3219,0.87613,1,0.99982,0.995,0.90062,0.50238,0.27805,0.86723,0.0008912,0.0008912,0.0008912
30,16168.9,0.49534,0.31129,0.87104,1,0.99649,0.995,0.89469,0.4868,0.26376,0.85484,0.0008516,0.0008516,0.0008516
31,16666.2,0.50157,0.30896,0.87375,0.9999,1,0.995,0.88379,0.51359,0.27587,0.86309,0.000812,0.000812,0.000812
32,17138,0.47585,0.30309,0.87484,1,0.99863,0.995,0.90369,0.48171,0.27183,0.85144,0.0007724,0.0007724,0.0007724
33,17337.9,0.48501,0.30633,0.87212,1,0.99993,0.995,0.88656,0.5116,0.27382,0.8704,0.0007328,0.0007328,0.0007328
34,17553.5,0.46707,0.29711,0.86283,1,0.99964,0.995,0.89866,0.48221,0.26194,0.85864,0.0006932,0.0006932,0.0006932
35,17744.9,0.45101,0.28934,0.85924,1,0.99944,0.995,0.90465,0.51131,0.2587,0.85977,0.0006536,0.0006536,0.0006536
36,18295.5,0.44817,0.28945,0.86939,0.9993,1,0.995,0.89216,0.49138,0.25618,0.84756,0.000614,0.000614,0.000614
37,18931,0.46468,0.29122,0.86322,0.99959,1,0.995,0.89514,0.52231,0.26783,0.86828,0.0005744,0.0005744,0.0005744
38,19553.8,0.45103,0.2802,0.85724,0.99956,1,0.995,0.90086,0.4883,0.24423,0.84828,0.0005348,0.0005348,0.0005348
39,19818,0.43401,0.27351,0.85599,0.99943,1,0.995,0.90658,0.49491,0.25097,0.8534,0.0004952,0.0004952,0.0004952
40,20177.4,0.42514,0.26573,0.85063,0.99958,1,0.995,0.90795,0.49414,0.24643,0.84514,0.0004556,0.0004556,0.0004556
41,20421.1,0.36444,0.22967,0.81412,0.99962,1,0.995,0.90138,0.50231,0.25242,0.85879,0.000416,0.000416,0.000416
42,20661.5,0.35867,0.22619,0.80849,0.99956,1,0.995,0.89721,0.49065,0.25404,0.84874,0.0003764,0.0003764,0.0003764
43,21319.1,0.36115,0.22765,0.81241,0.99939,1,0.995,0.90416,0.49646,0.24229,0.84925,0.0003368,0.0003368,0.0003368
44,21959.9,0.3533,0.21778,0.81538,0.99946,1,0.995,0.91529,0.47825,0.23923,0.8434,0.0002972,0.0002972,0.0002972
45,22192.1,0.32623,0.20874,0.7965,0.99949,1,0.995,0.9121,0.47952,0.23218,0.84308,0.0002576,0.0002576,0.0002576
46,22385.3,0.32549,0.20328,0.80277,0.99961,1,0.995,0.917,0.48345,0.22861,0.84738,0.000218,0.000218,0.000218
47,22611.9,0.32178,0.20539,0.80416,0.99958,1,0.995,0.91685,0.48381,0.23176,0.84456,0.0001784,0.0001784,0.0001784
48,22844,0.31416,0.19717,0.79073,0.99955,1,0.995,0.91004,0.49112,0.22935,0.84556,0.0001388,0.0001388,0.0001388
49,23221.7,0.30455,0.19166,0.79567,0.99959,1,0.995,0.91315,0.49219,0.22169,0.85053,9.92e-05,9.92e-05,9.92e-05
50,23436.2,0.29142,0.18698,0.79353,0.99955,1,0.995,0.91465,0.48755,0.21769,0.84841,5.96e-05,5.96e-05,5.96e-05
